teamIDwinner,teamIDloser,yearID,round,wins,losses,ties
PRO,NY4,1884,WS,3,0,0
CHN,SL4,1885,WS,3,3,1
SL4,CHN,1886,WS,4,2,0
DTN,SL4,1887,WS,10,5,0
NY1,SL4,1888,WS,6,4,0
NY1,BR3,1889,WS,6,3,0
BRO,LS2,1890,WS,3,3,1
BSN,CL4,1892,CS,5,0,1
BOS,PIT,1903,WS,5,3,0
NY1,PHA,1905,WS,4,1,0
CHA,CHN,1906,WS,4,2,0
CHN,DET,1907,WS,4,0,0
CHN,DET,1908,WS,4,1,0
PIT,DET,1909,WS,4,3,0
PHA,CHN,1910,WS,4,1,0
PHA,NY1,1911,WS,4,2,0
BOS,NY1,1912,WS,4,3,0
PHA,NY1,1913,WS,4,1,0
BSN,PHA,1914,WS,4,0,0
BOS,PHI,1915,WS,4,1,0
BOS,BRO,1916,WS,4,1,0
CHA,NY1,1917,WS,4,2,0
BOS,CHN,1918,WS,4,2,0
CIN,CHA,1919,WS,5,3,0
CLE,BRO,1920,WS,5,2,0
NY1,NYA,1921,WS,5,3,0
NY1,NYA,1922,WS,4,0,0
NYA,NY1,1923,WS,4,2,0
WS1,NY1,1924,WS,4,3,0
PIT,WS1,1925,WS,4,3,0
SLN,NYA,1926,WS,4,3,0
NYA,PIT,1927,WS,4,0,0
NYA,SLN,1928,WS,4,0,0
PHA,CHN,1929,WS,4,1,0
PHA,SLN,1930,WS,4,2,0
SLN,PHA,1931,WS,4,3,0
NYA,CHN,1932,WS,4,0,0
NY1,WS1,1933,WS,4,1,0
SLN,DET,1934,WS,4,3,0
DET,CHN,1935,WS,4,2,0
NYA,NY1,1936,WS,4,2,0
NYA,NY1,1937,WS,4,1,0
NYA,CHN,1938,WS,4,0,0
NYA,CIN,1939,WS,4,0,0
CIN,DET,1940,WS,4,3,0
NYA,BRO,1941,WS,4,1,0
SLN,NYA,1942,WS,4,1,0
NYA,SLN,1943,WS,4,1,0
SLN,SLA,1944,WS,4,2,0
DET,CHN,1945,WS,4,3,0
SLN,BOS,1946,WS,4,3,0
NYA,BRO,1947,WS,4,3,0
CLE,BSN,1948,WS,4,2,0
NYA,BRO,1949,WS,4,1,0
NYA,PHI,1950,WS,4,0,0
NYA,NY1,1951,WS,4,2,0
NYA,BRO,1952,WS,4,3,0
NYA,BRO,1953,WS,4,2,0
NY1,CLE,1954,WS,4,0,0
BRO,NYA,1955,WS,4,3,0
NYA,BRO,1956,WS,4,3,0
ML1,NYA,1957,WS,4,3,0
NYA,ML1,1958,WS,4,3,0
LAN,CHA,1959,WS,4,2,0
PIT,NYA,1960,WS,4,3,0
NYA,CIN,1961,WS,4,1,0
NYA,SFN,1962,WS,4,3,0
LAN,NYA,1963,WS,4,0,0
SLN,NYA,1964,WS,4,3,0
LAN,MIN,1965,WS,4,3,0
BAL,LAN,1966,WS,4,0,0
SLN,BOS,1967,WS,4,3,0
DET,SLN,1968,WS,4,3,0
BAL,MIN,1969,ALCS,3,0,0
NYN,ATL,1969,NLCS,3,0,0
NYN,BAL,1969,WS,4,1,0
BAL,MIN,1970,ALCS,3,0,0
CIN,PIT,1970,NLCS,3,0,0
BAL,CIN,1970,WS,4,1,0
BAL,OAK,1971,ALCS,3,0,0
PIT,SFN,1971,NLCS,3,1,0
PIT,BAL,1971,WS,4,3,0
OAK,DET,1972,ALCS,3,2,0
CIN,PIT,1972,NLCS,3,2,0
OAK,CIN,1972,WS,4,3,0
OAK,BAL,1973,ALCS,3,2,0
NYN,CIN,1973,NLCS,3,2,0
OAK,NYN,1973,WS,4,3,0
OAK,BAL,1974,ALCS,3,1,0
LAN,PIT,1974,NLCS,3,1,0
OAK,LAN,1974,WS,4,1,0
BOS,OAK,1975,ALCS,3,0,0
CIN,PIT,1975,NLCS,3,0,0
CIN,BOS,1975,WS,4,3,0
NYA,KCA,1976,ALCS,3,2,0
CIN,PHI,1976,NLCS,3,0,0
CIN,NYA,1976,WS,4,0,0
NYA,KCA,1977,ALCS,3,2,0
LAN,PHI,1977,NLCS,3,1,0
NYA,LAN,1977,WS,4,2,0
NYA,KCA,1978,ALCS,3,1,0
LAN,PHI,1978,NLCS,3,1,0
NYA,LAN,1978,WS,4,2,0
BAL,CAL,1979,ALCS,3,1,0
PIT,CIN,1979,NLCS,3,0,0
PIT,BAL,1979,WS,4,3,0
KCA,NYA,1980,ALCS,3,0,0
PHI,HOU,1980,NLCS,3,2,0
PHI,KCA,1980,WS,4,2,0
NYA,ML4,1981,AEDIV,3,2,0
NYA,OAK,1981,ALCS,3,0,0
OAK,KCA,1981,AWDIV,3,0,0
MON,PHI,1981,NEDIV,3,2,0
LAN,MON,1981,NLCS,3,2,0
LAN,HOU,1981,NWDIV,3,2,0
LAN,NYA,1981,WS,4,2,0
ML4,CAL,1982,ALCS,3,2,0
SLN,ATL,1982,NLCS,3,0,0
SLN,ML4,1982,WS,4,3,0
BAL,CHA,1983,ALCS,3,1,0
PHI,LAN,1983,NLCS,3,1,0
BAL,PHI,1983,WS,4,1,0
DET,KCA,1984,ALCS,3,0,0
SDN,CHN,1984,NLCS,3,2,0
DET,SDN,1984,WS,4,1,0
KCA,TOR,1985,ALCS,4,3,0
SLN,LAN,1985,NLCS,4,2,0
KCA,SLN,1985,WS,4,3,0
BOS,CAL,1986,ALCS,4,3,0
NYN,HOU,1986,NLCS,4,2,0
NYN,BOS,1986,WS,4,3,0
MIN,DET,1987,ALCS,4,1,0
SLN,SFN,1987,NLCS,4,3,0
MIN,SLN,1987,WS,4,3,0
OAK,BOS,1988,ALCS,4,0,0
LAN,NYN,1988,NLCS,4,3,0
LAN,OAK,1988,WS,4,1,0
OAK,TOR,1989,ALCS,4,1,0
SFN,CHN,1989,NLCS,4,1,0
OAK,SFN,1989,WS,4,0,0
OAK,BOS,1990,ALCS,4,0,0
CIN,PIT,1990,NLCS,4,2,0
CIN,OAK,1990,WS,4,0,0
MIN,TOR,1991,ALCS,4,1,0
ATL,PIT,1991,NLCS,4,3,0
MIN,ATL,1991,WS,4,3,0
TOR,OAK,1992,ALCS,4,2,0
ATL,PIT,1992,NLCS,4,3,0
TOR,ATL,1992,WS,4,2,0
TOR,CHA,1993,ALCS,4,2,0
PHI,ATL,1993,NLCS,4,2,0
TOR,PHI,1993,WS,4,2,0
CLE,SEA,1995,ALCS,4,2,0
CLE,BOS,1995,ALDS1,3,0,0
SEA,NYA,1995,ALDS2,3,2,0
ATL,CIN,1995,NLCS,4,0,0
ATL,COL,1995,NLDS1,3,1,0
CIN,LAN,1995,NLDS2,3,0,0
ATL,CLE,1995,WS,4,2,0
NYA,BAL,1996,ALCS,4,1,0
BAL,CLE,1996,ALDS1,3,1,0
NYA,TEX,1996,ALDS2,3,1,0
ATL,SLN,1996,NLCS,4,3,0
ATL,LAN,1996,NLDS1,3,0,0
SLN,SDN,1996,NLDS2,3,0,0
NYA,ATL,1996,WS,4,2,0
CLE,BAL,1997,ALCS,4,2,0
CLE,NYA,1997,ALDS1,3,2,0
BAL,SEA,1997,ALDS2,3,1,0
FLO,ATL,1997,NLCS,4,2,0
FLO,SFN,1997,NLDS1,3,0,0
ATL,HOU,1997,NLDS2,3,0,0
FLO,CLE,1997,WS,4,3,0
NYA,CLE,1998,ALCS,4,2,0
CLE,BOS,1998,ALDS1,3,1,0
NYA,TEX,1998,ALDS2,3,0,0
SDN,ATL,1998,NLCS,4,2,0
ATL,CHN,1998,NLDS1,3,0,0
SDN,HOU,1998,NLDS2,3,1,0
NYA,SDN,1998,WS,4,0,0
NYA,BOS,1999,ALCS,4,1,0
BOS,CLE,1999,ALDS1,3,2,0
NYA,TEX,1999,ALDS2,3,0,0
ATL,NYN,1999,NLCS,4,2,0
ATL,HOU,1999,NLDS1,3,1,0
NYN,ARI,1999,NLDS2,3,1,0
NYA,ATL,1999,WS,4,0,0
NYA,SEA,2000,ALCS,4,2,0
NYA,OAK,2000,ALDS1,3,2,0
SEA,CHA,2000,ALDS2,3,0,0
NYN,SLN,2000,NLCS,4,1,0
SLN,ATL,2000,NLDS1,3,0,0
NYN,SFN,2000,NLDS2,3,1,0
NYA,NYN,2000,WS,4,1,0
NYA,SEA,2001,ALCS,4,1,0
SEA,CLE,2001,ALDS1,3,2,0
NYA,OAK,2001,ALDS2,3,2,0
ARI,ATL,2001,NLCS,4,1,0
ATL,HOU,2001,NLDS1,3,0,0
ARI,SLN,2001,NLDS2,3,2,0
ARI,NYA,2001,WS,4,3,0
ANA,MIN,2002,ALCS,4,1,0
ANA,NYA,2002,ALDS1,3,1,0
MIN,OAK,2002,ALDS2,3,2,0
SFN,SLN,2002,NLCS,4,1,0
SFN,ATL,2002,NLDS1,3,2,0
SLN,ARI,2002,NLDS2,3,0,0
ANA,SFN,2002,WS,4,3,0
NYA,BOS,2003,ALCS,4,3,0
NYA,MIN,2003,ALDS1,3,1,0
BOS,OAK,2003,ALDS2,3,2,0
FLO,CHN,2003,NLCS,4,3,0
FLO,SFN,2003,NLDS1,3,1,0
CHN,ATL,2003,NLDS2,3,2,0
FLO,NYA,2003,WS,4,2,0
BOS,NYA,2004,ALCS,4,3,0
BOS,ANA,2004,ALDS1,3,0,0
NYA,MIN,2004,ALDS2,3,1,0
SLN,HOU,2004,NLCS,4,3,0
SLN,LAN,2004,NLDS1,3,1,0
HOU,ATL,2004,NLDS2,3,2,0
BOS,SLN,2004,WS,4,0,0
CHA,LAA,2005,ALCS,4,1,0
CHA,BOS,2005,ALDS1,3,0,0
LAA,NYA,2005,ALDS2,3,2,0
HOU,SLN,2005,NLCS,4,2,0
SLN,SDN,2005,NLDS1,3,0,0
HOU,ATL,2005,NLDS2,3,1,0
CHA,HOU,2005,WS,4,0,0
DET,OAK,2006,ALCS,4,0,0
DET,NYA,2006,ALDS1,3,1,0
OAK,MIN,2006,ALDS2,3,0,0
SLN,NYN,2006,NLCS,4,3,0
NYN,LAN,2006,NLDS1,3,0,0
SLN,SDN,2006,NLDS2,3,1,0
SLN,DET,2006,WS,4,1,0
BOS,CLE,2007,ALCS,4,3,0
BOS,LAA,2007,ALDS1,3,0,0
CLE,NYA,2007,ALDS2,3,1,0
COL,ARI,2007,NLCS,4,0,0
ARI,CHN,2007,NLDS1,3,0,0
COL,PHI,2007,NLDS2,3,0,0
BOS,COL,2007,WS,4,0,0
TBA,BOS,2008,ALCS,4,3,0
BOS,LAA,2008,ALDS1,3,1,0
TBA,CHA,2008,ALDS2,3,1,0
PHI,LAN,2008,NLCS,4,1,0
LAN,CHN,2008,NLDS1,3,0,0
PHI,MIL,2008,NLDS2,3,1,0
PHI,TBA,2008,WS,4,1,0
NYA,LAA,2009,ALCS,4,2,0
NYA,MIN,2009,ALDS1,3,0,0
LAA,BOS,2009,ALDS2,3,0,0
PHI,LAN,2009,NLCS,4,1,0
LAN,SLN,2009,NLDS1,3,0,0
PHI,COL,2009,NLDS2,3,1,0
NYA,PHI,2009,WS,4,2,0
TEX,NYA,2010,ALCS,4,2,0
TEX,TBA,2010,ALDS1,3,2,0
NYA,MIN,2010,ALDS2,3,0,0
SFN,PHI,2010,NLCS,4,2,0
PHI,CIN,2010,NLDS1,3,0,0
SFN,ATL,2010,NLDS2,3,1,0
SFN,TEX,2010,WS,4,1,0
TEX,DET,2011,ALCS,4,2,0
DET,NYA,2011,ALDS1,3,2,0
TEX,TBA,2011,ALDS2,3,1,0
SLN,MIL,2011,NLCS,4,2,0
SLN,PHI,2011,NLDS1,3,2,0
MIL,ARI,2011,NLDS2,3,2,0
SLN,TEX,2011,WS,4,3,0
BAL,TEX,2012,ALWC,1,0,0
DET,NYA,2012,ALCS,4,0,0
NYA,BAL,2012,ALDS1,3,2,0
DET,OAK,2012,ALDS2,3,2,0
SLN,ATL,2012,NLWC,1,0,0
SFN,SLN,2012,NLCS,4,3,0
SLN,WAS,2012,NLDS1,3,2,0
SFN,CIN,2012,NLDS2,3,2,0
SFN,DET,2012,WS,4,0,0
TBA,CLE,2013,ALWC,1,0,0
BOS,DET,2013,ALCS,4,2,0
BOS,TBA,2013,ALDS1,3,1,0
DET,OAK,2013,ALDS2,3,2,0
PIT,CIN,2013,NLWC,1,0,0
SLN,LAN,2013,NLCS,4,2,0
SLN,PIT,2013,NLDS1,3,2,0
LAN,ATL,2013,NLDS2,3,1,0
BOS,SLN,2013,WS,4,3,0
KCA,OAK,2014,ALWC,1,0,0
KCA,BAL,2014,ALCS,4,0,0
KCA,LAA,2014,ALDS1,3,0,0
BAL,DET,2014,ALDS2,3,0,0
SFN,PIT,2014,NLWC,1,0,0
SFN,SLN,2014,NLCS,4,1,0
SFN,WAS,2014,NLDS1,3,1,0
SLN,LAN,2014,NLDS2,3,1,0
SFN,KCA,2014,WS,4,3,0
HOU,NYA,2015,ALWC,1,0,0
KCA,TOR,2015,ALCS,4,2,0
KCA,HOU,2015,ALDS1,3,2,0
TOR,TEX,2015,ALDS2,3,2,0
CHN,PIT,2015,NLWC,1,0,0
NYN,CHN,2015,NLCS,4,0,0
CHN,SLN,2015,NLDS1,3,1,0
NYN,LAN,2015,NLDS2,3,2,0
KCA,NYN,2015,WS,4,1,0
TOR,BAL,2016,ALWC,1,0,0
CLE,TOR,2016,ALCS,4,1,0
TOR,TEX,2016,ALDS1,3,0,0
CLE,BOS,2016,ALDS2,3,0,0
SFN,NYN,2016,NLWC,1,0,0
CHN,LAN,2016,NLCS,4,2,0
CHN,SFN,2016,NLDS1,3,1,0
LAN,WAS,2016,NLDS2,3,2,0
CHN,CLE,2016,WS,4,3,0
