playerID,yearID,teamID,round,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
becanbu01,1884,NY4,WS,1,2,0,1,0,0,0,0,0,,0,0,0,,,,
bradyst01,1884,NY4,WS,3,10,1,0,0,0,0,0,0,,0,1,0,,,,
carrocl01,1884,PRO,WS,3,10,2,1,0,0,0,1,0,,1,1,0,,,,
dennyje01,1884,PRO,WS,3,9,3,4,0,1,1,2,0,,0,3,0,,,,
esterdu01,1884,NY4,WS,3,10,0,3,1,0,0,0,1,,0,3,0,,,,
farreja02,1884,PRO,WS,3,9,3,4,2,0,0,0,1,,0,0,0,,,,
forstto01,1884,NY4,WS,1,3,0,0,0,0,0,0,0,,0,1,0,,,,
gilliba01,1884,PRO,WS,3,9,3,4,2,0,0,2,0,,0,1,0,,,,
hinespa01,1884,PRO,WS,3,8,5,2,0,0,0,1,2,,3,0,0,,,,
irwinar01,1884,PRO,WS,3,9,3,2,0,1,0,2,0,,0,2,0,,,,
keefeti01,1884,NY4,WS,2,5,0,1,0,0,0,0,0,,0,4,0,,,,
kenneed01,1884,NY4,WS,3,7,0,0,0,0,0,0,0,,0,2,0,,,,
nelsoca01,1884,NY4,WS,3,10,0,1,0,0,0,0,0,,0,1,0,,,,
orrda01,1884,NY4,WS,3,9,0,1,0,0,0,0,0,,0,0,0,,,,
radboch01,1884,PRO,WS,3,10,1,1,0,0,0,2,0,,1,3,0,,,,
radfopa01,1884,PRO,WS,3,7,1,0,0,0,0,1,0,,0,1,0,,,,
reipsch01,1884,NY4,WS,2,5,1,0,0,0,0,0,0,,0,1,0,,,,
rosemch01,1884,NY4,WS,3,9,1,3,0,0,0,1,0,,0,1,0,,,,
startjo01,1884,PRO,WS,3,10,0,1,0,0,0,1,0,,0,2,0,,,,
troyda01,1884,NY4,WS,2,5,0,1,0,0,0,1,0,,0,1,0,,,,
ansonca01,1885,CHN,WS,7,26,8,11,1,1,0,0,0,,2,0,0,,,,
barklsa01,1885,SL4,WS,7,23,3,2,0,0,0,0,0,,2,0,0,,,,
burnsto01,1885,CHN,WS,7,25,3,2,0,1,0,0,0,,0,0,0,,,,
bushodo01,1885,SL4,WS,4,13,1,2,0,0,0,0,0,,0,0,0,,,,
carutbo01,1885,SL4,WS,5,15,1,3,0,1,0,0,0,,1,0,0,,,,
clarkjo01,1885,CHN,WS,4,13,1,2,1,0,0,0,0,,0,0,0,,,,
comisch01,1885,SL4,WS,7,24,6,7,0,0,0,0,0,,0,0,0,,,,
dalryab01,1885,CHN,WS,7,26,4,7,2,0,1,0,0,,2,0,0,,,,
flintsi01,1885,CHN,WS,4,14,0,2,0,0,0,0,0,,0,0,0,,,,
foutzda01,1885,SL4,WS,4,12,1,2,0,0,0,0,0,,0,0,0,,,,
gleasbi01,1885,SL4,WS,7,26,5,6,2,0,0,0,0,,1,0,0,,,,
gorege01,1885,CHN,WS,1,3,1,0,0,0,0,0,0,,1,0,0,,,,
hollibu01,1885,CHN,WS,1,4,0,0,0,0,0,0,0,,0,0,0,,,,
kellyki01,1885,CHN,WS,7,26,9,9,3,1,0,0,0,,2,0,0,,,,
